name,website_url,cuisine_type,retry_reason,scraping_method
"Barbican Steakhouse",https://www.barbicansteakhouse.co.uk/,Steakhouse,failed_scrape,synthetic_generation
"Bodrum Blue Turkish Restaurant",https://www.bodrumblue.co.uk/,Turkish,failed_scrape,synthetic_generation
"Cap'n Jaspers",https://www.capnjaspers.co.uk/,Seafood,failed_scrape,synthetic_generation
"Captain Jasper's",https://captainjaspers.co.uk/,"Seafood & Grill",failed_scrape,synthetic_generation
"Changs Chinese Restaurant",https://www.tripadvisor.com,Chinese,failed_scrape,failed_tripadvisor
"Chart Room at the Royal William Yard",https://www.chartroom-plymouth.co.uk/,British/Seafood,failed_scrape,synthetic_generation
"Chimichanga Plymouth",https://www.chimichanga.co.uk/restaurants/plymouth,Mexican,failed_scrape,synthetic_generation
"Copper & Crane",https://www.copperandcrane.co.uk/,"Tapas & Cocktails",failed_scrape,synthetic_generation
"East Street Kitchen","https://www.eastst reetkitchen.co.uk/","Modern British",failed_scrape,synthetic_generation
"Ganges Indian Restaurant",https://www.gangesplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
"Gin & Olive",https://www.ginandolive.com/,Mediterranean,failed_scrape,synthetic_generation
"Himalaya Nepalese Cuisine",https://www.himalayaplymouth.co.uk/,Nepalese,failed_scrape,synthetic_generation
"Himalayan Kitchen",https://www.himalayankitchenplymouth.co.uk/,Nepalese,failed_scrape,synthetic_generation
"Jack Rabbit Cafe",https://www.jackrabbitcafe.co.uk/,Cafe,failed_scrape,synthetic_generation
"Jacka Bakery Café",https://www.jackabakery.co.uk/,"Bakery & Café",failed_scrape,synthetic_generation
"Kapadokya Restaurant",https://www.kapadokyaplymouth.co.uk/,Turkish,failed_scrape,synthetic_generation
"Korean BBQ House",https://www.koreanbbqplymouth.co.uk/,Korean,failed_scrape,synthetic_generation
"Lebanese Nights",https://www.lebanesenightsplymouth.co.uk/,Lebanese,failed_scrape,synthetic_generation
"Mediterranean Kitchen",https://www.medkitchenplymouth.co.uk/,Mediterranean,failed_scrape,synthetic_generation
"Meze Lounge","https://www.mezeloungeply mouth.co.uk/",Mediterranean,failed_scrape,synthetic_generation
"Mumbai Spice",https://www.mumbaispiceplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
"Positano Restaurant",https://www.positanoplymouth.co.uk/,Italian,failed_scrape,synthetic_generation
"Royal Bengal",https://www.royalbengalplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
"Sakura Japanese Restaurant",https://www.sakuraplymouth.co.uk/,Japanese,failed_scrape,synthetic_generation
"Shanaz Indian Cuisine",https://www.shanazplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
"Spice Island Tandoori",https://www.spiceislandplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
"Supha's Street Food",https://www.suphasstreetfood.co.uk/,"Thai & Vietnamese",failed_scrape,synthetic_generation
"Sutton Snax",https://www.tripadvisor.co.uk/Restaurant_Review-g186258-d2294864-Reviews-Sutton_Snax-Plymouth_Devon_England.html,"Café & Deli",failed_scrape,failed_tripadvisor
"Thai House Restaurant",https://www.thaihouseplymouth.co.uk/,Thai,failed_scrape,synthetic_generation
"The Blue Walnut Cafe",https://www.bluewalnutcafe.co.uk/,"Vegetarian Cafe",failed_scrape,synthetic_generation
"The Boathouse Cafe",https://www.boathouseplymouth.co.uk/,"Harbour Cafe",failed_scrape,synthetic_generation
"The Bread Factory",https://www.breadfactoryplymouth.co.uk/,"Bakery Cafe",failed_scrape,synthetic_generation
"The Britannia Inn",https://www.britanniainnplymouth.co.uk/,"Community Pub",failed_scrape,synthetic_generation
"The China Palace",https://www.chinapalaceplymouth.co.uk/,Chinese,failed_scrape,synthetic_generation
"The Clifton",https://www.cliftonplymouth.co.uk/,"Local Pub",failed_scrape,synthetic_generation
"The Clovelly Bay Inn",https://www.clovellybayinn.co.uk/,"Coastal Pub",failed_scrape,synthetic_generation
"The Cooperage",https://www.cooperageplymouth.co.uk/,"Barbican Pub",failed_scrape,synthetic_generation
"The Cornish Arms",https://www.cornisharmsplymouth.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Crown & Column",https://www.crownandcolumn.co.uk/,Gastropub,failed_scrape,synthetic_generation
"The Dock Cafe Bar",https://www.thedockcafebar.co.uk/,"Cafe Bar",failed_scrape,synthetic_generation
"The Dolphin Brasserie",https://www.dolphinbrasserie.co.uk/,"French Brasserie",failed_scrape,synthetic_generation
"The Dolphin Hotel",https://www.dolphinhotelbarbican.co.uk/,"Pub & Gastropub",failed_scrape,synthetic_generation
"The Dolphin Hotel Restaurant",https://www.dolphinhotelplymouth.co.uk/,"Traditional British",failed_scrape,synthetic_generation
"The Fawn Cafe",https://www.fawncafe.co.uk/,Cafe,failed_scrape,synthetic_generation
"The Fawn Private Members Club",https://www.thefawnplymouth.co.uk/,"Modern British",failed_scrape,synthetic_generation
"The Firestone Bar & Grill",https://www.firestoneplymouth.co.uk/,American,failed_scrape,synthetic_generation
"The Fishbone Grill",https://www.fishbonegrill.co.uk/,"Seafood Grill",failed_scrape,synthetic_generation
"The Fishermans Arms",https://www.fishermansarmsplymouth.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Fishing Boat Inn",https://www.fishingboatinn.co.uk/,"Seafood Pub",failed_scrape,synthetic_generation
"The Floating Bridge Inn",https://www.thefloatingbridgeinn.co.uk/,"Pub Food",failed_scrape,synthetic_generation
"The Fortescue Hotel Restaurant",https://www.fortescuehotel.co.uk/,"Hotel Restaurant",failed_scrape,synthetic_generation
"The George & Dragon",https://www.georgeanddragonplymouth.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Gog & Magog",https://www.gogandmagog.co.uk/,"Historic Pub",failed_scrape,synthetic_generation
"The Good Companion",https://www.goodcompanionplymouth.co.uk/,"Modern British",failed_scrape,synthetic_generation
"The Greedy Goose",https://www.greedygooseplymouth.co.uk/,British,failed_scrape,synthetic_generation
"The Grenadier",https://www.grenadierplymouth.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Hyde Park",https://www.hydeparkplymouth.co.uk/,Pub,failed_scrape,synthetic_generation
"The King's Tamerton Inn",https://www.kingstamertoninn.co.uk/,"Community Pub",failed_scrape,synthetic_generation
"The Lord High Admiral",https://www.lordhighadmiral.co.uk/,Gastropub,failed_scrape,synthetic_generation
"The Lounge",https://www.loungesplymouth.co.uk/,"Lounge Bar",failed_scrape,synthetic_generation
"The Maritime Inn",https://www.maritimeinnplymouth.co.uk/,"Pub Food",failed_scrape,synthetic_generation
"The Minerva Inn",https://www.minerva-inn.co.uk/,"Historic Pub",failed_scrape,synthetic_generation
"The Mission",https://www.themission-plymouth.co.uk/,"Mexican & American",failed_scrape,synthetic_generation
"The Mission",https://www.themissionplymouth.co.uk/,Mexican,failed_scrape,synthetic_generation
"The Morley Arms",https://www.morleyarms.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Navy Inn",https://www.navyinnplymouth.co.uk/,"Historic Pub",failed_scrape,synthetic_generation
"The Nowhere Inn",https://www.nowhereinn.co.uk/,"Waterside Pub",failed_scrape,synthetic_generation
"The Phoenix",https://www.phoenixplymouth.co.uk/,Pub,failed_scrape,synthetic_generation
"The Ploughman's Bakehouse",https://www.ploughmansbakehouse.co.uk/,Bakery,failed_scrape,synthetic_generation
"The Plympton Inn",https://www.plymptoninn.co.uk/,"Village Pub",failed_scrape,synthetic_generation
"The Prince Maurice",https://www.princemaurice.co.uk/,Gastropub,failed_scrape,synthetic_generation
"The Prospect Inn",https://www.prospectinn.co.uk/,"Waterside Pub",failed_scrape,synthetic_generation
"The Roundabout Cafe",https://www.roundaboutcafe.co.uk/,Cafe,failed_scrape,synthetic_generation
"The Royal Fleet Club",https://www.theroyalfleetclub.co.uk/,"Club Restaurant",failed_scrape,synthetic_generation
"The Ship Inn",https://www.theshipinnplymouth.co.uk/,"Traditional Pub",failed_scrape,synthetic_generation
"The Stoke Inn",https://www.stokeinn.co.uk/,"Local Pub",failed_scrape,synthetic_generation
"The Thistle Park Tavern",https://www.thistleparktavern.co.uk/,"Family Pub",failed_scrape,synthetic_generation
"The Treasury Bar & Restaurant",https://www.thetreasuryplymouth.co.uk/,International,failed_scrape,synthetic_generation
"The Waterfront",https://www.waterfrontplymouth.co.uk/,"British Pub",failed_scrape,synthetic_generation
"The Yarde",https://www.theyarde.co.uk/,"Modern British",failed_scrape,synthetic_generation
"Trawlers Catch",https://www.trawlerscatch.co.uk/,Seafood,failed_scrape,synthetic_generation
"Wing Wah Chinese Restaurant",https://www.wingwahplymouth.co.uk/,Chinese,failed_scrape,synthetic_generation
"Yukisan Ramen Bar",https://www.yukisanramen.co.uk/,"Japanese Ramen",failed_scrape,synthetic_generation
"Zaika Indian Cuisine",https://www.zaikaplymouth.co.uk/,Indian,failed_scrape,synthetic_generation
Zuzimo,https://www.zuzimo.co.uk/,Mediterranean,failed_scrape,synthetic_generation
Pieminister Plymouth,https://www.pieminister.co.uk/restaurants/plymouth,British Pies,failed_extraction,real_scraped_0_items
